review_text,review_rating
"
                [Spoiler Warning]
Coming into Attack on Titan season 3 I was slightly nervous because I heard that this season was going to be more focused on Human vs Human, but by the second episode all my doubts had been relieved and thought It was the greatest shit ever.
Visuals and Animation - 10+
Out of nowhere Studio Wit upped the quality of the production values to a point I didn’t was possible in a TV anime. The Levi vs Kenny Squad sequence in episode 2  had some of the best Sakuga and animation I had ever seen All of anime, let alone TV anime. The amount of
                  shit going on in that scene literally just made my brain go like, “what the fuck that just happened.” Not only did the animation improve but also the art quality improved. In some scenes I was just in awe of how Wit Studio crafted the world of attack on titan so beautifully. 
The only thing I had a slight issue with was some of the CGI cuts. The rod titan was done pretty well but some CGI cuts were not pretty. I Also liked how they designed the crystal basement, thought it looked nice.
Sound & Music -10+
Hiroyuki Sawano, the man, the myth, the legend. This dude has composed almost  everyone of my favorite soundtracks and is always consistent. Some uneducated people might say all his work is too similar, but guess what? Who tf cares if it is similar all his music amazing and on top of that Attack on titan has in my opinion the best soundtrack in anime EVER. PERIOD. Everyone song in attack on titan sets the mood and tone perfectly and can strike a range of emotions, whether it be sad,inspiring,hype,heartwarming,scary, or nervous every emotions can be felt. Also the last scene when they played the scouts theme and Erwin was getting the scouts and the people hype was fucking heart pounding and gave me goosebumps.
Not only is the soundtrack good but the voice acting and sound effects are excellent as well. Dub and Sub both do a great job.
Characters - 9
Eren- had some pretty good development learning that he is not special and developed some chemistry with historia and became overall more mature, only issue I had was he sometimes got a little over dramatic and the stretch of episodes where he wanted to be eaten and was called constantly crying got a little old. Though even did come up clutch with that crystallization power and was badass when he through the barrels in rod titans mouth
Levi- We get some much needed depth on Levi’s backstory and see how his mom died and was a prostitute, how he lived with Kenny and when Kenny died how he really showed sadness that his father figure died. Also we get to see how fucking badass he is taking out every mf in his path. He went off against Kenny Squad twice and even injured Kenny. But that chase sequence was something else and just shows us how super human Levi is. Also the scene at the end where he is threatening to break Erwin’s legs so he can’t go on the mission shows how much he cares for Erwin and doesn’t want to see his friend dead, but at the same time when Erwin reveals that he values going on the mission to retake Wall Maria more than humanities victory Levi has to respect Erwin’s dream and let him continue. Also we see how Levi has to mentor the new Levi squad - Connie, Eren, Mikasa, Jean, Sasha, and Armin, to kill other humans and hardens them as shown when the new recruits see that there faces have changed. 
Historia - she gets a lot of development in this season, first we see her backstory how her mom was rod reiss’ mistress and didn’t care for her in the slightest. We also see her develop a relationship with Freda, who she remembers when rod shows her the erased memories through his magic bloodline power. Historia for the first half of the season is manipulated by rod who wants her to become a titan so he can get off on his God fantasy. Historia who is blinded by the memory of Freda blindly follows and at the last second changes her mind and breaks the syringe and flips Rod. This a huge development because historia is finally taking control of her own destiny and doing what she feels is right. When historia was made queen I thought it was going to be weird but AOT pulled it off and Historia gets her huge payoff when she cuts ties with Rod completely by cutting the last piece of him, thus ending his life and breaking historia completely free of her past. Also Historia gets closer with eren and Mikasa catches wind of this in episode eleven when she gives Eren the Death Stare.
Erwin - Uh oh, the Erwin death flags are high after episode twelve, with Levi showing concern for his safety on the mission to retake Wall Maria. Moving on, Erwin starts of this arc being arrested for murder he didn’t commit and having dramatic conversations with pixus and Nile.
He then comes up with a badass plan to fake a titan invasion and turns the table on the aristocratics running the government, who panic and want to quarantine Wall rose. This doesn’t sit well with pixus or Nile so they overthrow the government and head for eren. We also see Erwin’s backstory and how his father was killed because he found out too much about the world and that drives Erwin to uncover the truth of the titans and the world. Finally, Erwin gets the send off he deserves rallying the crowd and the soldiers. 
Mikasa- she doesn’t really get that much focus into her character but does have some pretty cool fight scenes but we do see her mood improve when eren goes back to his normal scrappy self when he fights jean.
Armin- in ep 2 armin gets his first human kill and gets emotional about it, he starts to show maturity and is more useful to the scouts also he cross dresses and gets felt up which was weird, reminds Eren about dream to go she the sea
Jean, Connie, and Sasha - we get see just how More mature they become when in the first battle vs Kenny squad they are indecisive and nervous and then in the second fight they just straight up murder people from the Kenny squad. When I saw my boy Jean slice that dudes neck and Connie also kill someone I was like “fuck they really out here killing people.” Also that scene when they are hype for the send off was pretty funny
Kenny - personality was super unique and he was a really cool character his fights with Levi were pretty hype and the whole gunman style of him in his squad was really dope. His death was pretty sad and the story of how he came to live with Levi was well done only issue I have with him is he died before his character was completely fleshed out.
Plot - 9.5 
Finally the PLOT! I appreciated the change in direction and commitment to focusing on character development rather than Titans. Although I did think the bloodline power thing was sorta whack the story was overall good. All though I am pissed that series is taking a break because I was hype to see them retake Wall Maria but whatever.",10
"
                Other than the male x male shipping, I am not finding many reasons to like this show anymore.
Half of the season is practically a collection of cliche action scenes. People teleport from the sky to save the day, others swing in the sky with spider-man gears, evil people sit on the face of someone just to prove that they indeed evil, Levi declares he is an insane badass by committing an act that distantly resembles the twisting of an arm. So fucked up! I am scared, literally how can man be this insane. Please, no, not the arm. 
The other half is practically a parody
                  of politics except the narrative itself doesn't recognize this lameness as a parody. People with might and power declare a thing, but another thing happens -- much like with the teleporting nakama in the action side -- other big guys teleport whenever important decisions are supposed to be made. Essentially every part of the politics is so one-dimensional it hurts and serves as an excuse to create more bullshit to fill the story with. These vary from random kidnapping incidents to people thinking one of their nakama dies if they don't hurry up. I am not sure how exactly am I supposed to be fooled by this when it is clear plot-armors in the series are thicker than the walls itself.
The best part of this show are the supposedly evil people and ""our"" enemies. Whenever our main squad gets called subhumen or pseudo-soldiers by them, I agree whole-heartedly. The opposing party did nothing wrong when looking down on our plebeian children at arms. Which this show really is all about. Some kids acting like they matter, fighting against titans or being titans or hiding from titans behind walls made of titans. At least the first season was fun to watch because it was a complete disaster and so overboard idiotic. This isn't even ironically fun anymore. More meaningless events one after another.
This season doesn't achieve anything. It's just Eren being chained half the time + farming, characters pondering over some action for half an episode each episode just to see the thing itself never happening. It's all false tension, all words no reward, no payout. Boring substance that is repetition of the same over and over while the fallacy that something might actually happen being there to fool those who are still buying this. Oh no, titan appears for the 700th millionth time, what a shock, I wonder which one of the two things that ever happen when a titan appear, happens this time around. Literally can't wait for the next cour.",2
"
                In a desolate world where corruption, power, and control rules all, Attack on Titan feels like a story that goes far deeper than just survival. As someone who has been following the series for several years, this franchise has really made a reputation. I’m not even talking about the commercial sales revenue or fan base. I’m talking about how this show evolved from a war between Humans and Titans.
After only a year, Attack on Titan made its grand return. Given the popularity of the franchise, this was inevitable but the big surprise was how soon it got announced. The first season ran for 2-cour in
                  2013 while the second season ran for only a single cour in Spring 2017. Yet, here we are with a third season after just one year. As a fan myself, I’m more than pleased to say that the third season continues to live up to its household name. It’s a franchise that truly deserves its acclaim.
Watching the third season will make fans quickly realize the change of mood in the very beginning. In fact, this season may not be what you are used to and will take some time to adapt with. The lack of Titans is evident from the first few episodes. Attack on Titan has been praised in the past before for its great action. Not only does the production quality and rhythm enhance the experience, the show itself always managed to capture the momentum of every battle. Here we are in third season and it takes a step back with the fighting between Titans and humanity. Rather, we have humanity dealing with its own problems - internal issues and political conflicts along with deep secrets that runs in the veins of key characters.
For a long time, we’ve seen the political conflicts inside the walls and government. Coming into the third season had me wondering how much we take a dive into exploring that side. And to my pleasant surprise, this season made a clear point that Titans are not the only enemies in their world. In fact, humans are also part of the problem and our main characters have to find a way to deal with it. For instance, Levi’s Squad faces off against adversaries that challenges them to life-and-death scenarios. Levi also faces a dangerous individual from his past, a man named Kenny. You may have heard him screaming in the promotional video but that scream isn’t just a battle cry. It’s the realization that he has to deal with his own personal demon. It’s not just him either but the realization of actually having to kill humans will test the mental limits of our characters. 
As in all of the Attack on Titan seasons so far, we take a look at background storytelling for some of the important characters. From this season, we take a look at Historia, Kenny, Keith, and even a bit of Eren’s mother, Carla. The key selling point is how these characters' stories connect with the overall plot. It’s imperative that viewers understand them as these stories reveal characters’ motivations and how their actions influences the present. To me, I think Attack on Titan always managed to capture a viewers’ attention through its characterization. The creator wants the audience to understand these characters by both telling and showing. It’s accomplished with important dialogues and actions motivated by a clear set of goals. I can’t really talk exactly the precise details as it would be spoilers but the big picture to realize here is why these characters are created. Attack on Titan Season 3 also made me understand why characters are motivated to do certain things and is an accomplishment not to be overlooked. The amount of psychology and emotions makes the story impactful too even for newer characters like Kenny. In terms of plot elements, the show continues to heighten the mystery. Attack on Titan has been known to create a feeling of suspense and there’s no doubt this season will surprise you.
In the present, main protagonist Eren finds himself in more trouble than just a death sentence. I would say this season made him feel less relevant at first until you realize what’s at stake. Eren’s connection to the past is one of the key mysteries in the show that probably had fans formulate theories all the way back in 2013. Here we are 5 years later and some of that mystery has answers. In the meantime, characters such as Erwin and Pyxis also play important roles with consequences. The plot evolves to become much more complicated than just a war against Titans. It becomes an internal war of complex ideologies. There’s also many revelations that shows how certain characters have connections with each other. And to add on to the cherry on top, we do still get fighting segments for you action junkies.
Season 3 takes a different approach this time but retains its ability to tell a memorable story. It managed to hook me in the beginning once realizing how important character roles are. Through its characterization, it showed me that the show doesn’t need fancy action and cinematics to make a well-polished anime. Sure, that part isn’t entirely absent but is limited compared to the previous seasons. Whether that’s an appeal will be for you to judge. Just do realize that Attack on Titan doesn’t always need people drawing out their blades and sticking it into Titans’ necks.",8
"
                *Minimum Spoiler Review*
TL;DR: If every weird conspiracy theory you had for SnK suddenly started becoming true... Well that's this season of SnK for you. From Titans dying like Titanic to Internal Gov'ts crashing like US Stock exchange on day two, this first cour of SnK will leave you screaming... KENNEEYYYYYYY! 
If you didn't watch S1 & S2, don't even bother reading or watching this anime.  
[Story: 7/10 , Characters: 8/10, Art: 9/10, Sound: 8/10, Enjoyment: 8/10]
""You Levi. You grown any yet"" - Kenny Ackerman
This season of Shingeki no Kyojin or Attack on Titan should really be called Attack on Internal Government. From military coups
                  to Historia becoming a waifu boo and Eren slapping himself to stop being Eren, this season definitely stands out from all the previous seasons... good or bad? Let's find out. What originally was supposed to be a 2-cour anime by Wit Studio, they throw another curveball towards fans by making it 1-cour due to budget & work constraints. That's alright since the anime delivers through their concise story adaptation, developed secondary characters, great non-hype music and as always stellar art & animation style. However, after finishing watching it, it will always leave you feeling empty as this season was less substance but more action, overall.  
""Who decides... Who will you trust?"" Erwin Smith
From the story stand point, director Araki & Koizuka did a phenomenal job taking some of the most boring drawn out manga arcs and presenting them in a different order to retell the author's story. Though S3 seems like it starts out of nowhere as no continuation is felt from previous season, you are immediately thrown into the internal world of life inside the wall with high paced action of people fighting people using ODMG but instead of swords vs swords we now have swords vs GUNS. Great job hooking puzzled viewers in and over the course of this anime we get to learn the real truth behind how politics is actually governed inside the wall. From who's pulling the strings, history of royal blood and finally the truth behind the man Eren's father really was. The best takeaway would be wondering, who really is the hero or rather who is actually doing what's morally right as shown through juxtaposing the childish views characters once had of this world vs adult views now they have chosen to accept. Who really thinks for the people and who are just selfish power hungry trash. The manga arc was boring but the director paced the story well for viewers to bite through it as well as some flashback stories of two key characters in this anime really solidifies Erwin's purpose of proving his father's hypothesis. 
""The person that I killed... I bet they were a nice person. Someone that was much more human than I am..."" - Armin Arlert
The main reason this anime gets praise this season is because we learn a lot of the history behind characters who we were somewhat curious about. This anime is no longer about Eren but more about the people inside the wall vs the beings outside the wall. From focusing on Historia's growth to Levi's tragic past and shedding light on the Ackerman Family & Reiss Family line, we get a sense of how the chess pieces are moving or have been moving all throughout history for mankind to come to this sort of standpoint. The anime also explores the change in psyche soldiers like Armin, Sasha, & Jean go through as they now have to cope with killing humans not just titans, a huge taboo. The beatdown lecture Levi tells them about we kill those who will harm us as self-defence & to protect our close ones parallels with IRL military soldiers and how they are trained to kill ""units"" not people. Because if you humanize your enemy, you will have hesitation vs treating them like ""beasts"". That's one interesting take-way from this season. Also huge shoutout to characters like Kenny & Hange, keeping the anime fresh with their torture techniques. Not to mention, the seiyuus for this season who were able to tell the story more through the anguish in their voice. Huge kudos to them. 
""I never said who was right or wrong. I don't even know myself."" - Levi 
Aside from the somewhat linear story arc & developed secondary characters, time after time, if there is one thing this studio does justice, it's their animation & art style. This season they nailed it as well. Every panel was hand-drawn really well. The action sequences flowed really well. We harp the studio for taking forever releasing the anime but atleast they never flake on us on quality. The background score was really hype throughout all the fight sequences and the drops right before key enigmatic moments definitely escalates the excitement each episode. What stood out most though, was the opening of the anime. We are so accustomed to hype opening songs such as Feuerroter Pfeil and Bogen & Die Flügel der Freiheit by REVO of Linked Horizon that when a slow melodious anti-hype casual song as Red Swan by X Japan came to be opening song fans were lost and confused. This wasn't the SnK they knew and came to love. However, it grows with time and you get why that opening song was used instead of hype songs as this season wasn't about humans vs titans but more humans vs humans. This was what the directors wanted to drive home and by using opening song as this he set the battlefield for just that. So great foresight from their part. 
""Go on and torture me already. That's all I did with this blood-stained hands of mine"" - Djel Sannes
Overall, SnK S3 wasn't that bad of an anime. Is it as hype & story packed as previous seasons? Not really but given the manga arc the directors were working with, they did a pretty good job. By following not the path the mangaka, Isayama,  had originally planned out to this new pacing, it served justice to the anime viewers. Though the studio will take a break after 1-cour and continue part 2 from Spring (hopefully) it will be worth it to not read ahead and spoil ourselves in my opinion. Attack on Titan has come to terms to know what their recipe for success is and that's minimizing Eren's wailing and maximizing Erwin's madness. Without spoiling too much, the series ends with their purpose tied back to the beginning. Definitely looking forward to the next season or second part as that will be real jaw-dropping moment for most fans out there who has yet to spoil themselves. Nevertheless, there is no point not watching this season of AoT. You've already invested in the first and second season, might as well binge watch this season. That's always the best way to watch this anime. The anime is building up to their denouement so why hop off the train now. Anyways, check it out & let me know later how you like it as well as share with me your favourite quote from the anime! Ciao.
P.S. Thank you for reading. I hope you found this short and supaishi review helpful!",8
"
                This anime was my first show (when I realized what exactly is anime) and I will be honest: (about season 3).
OP intro 8/10- I did not expect anything like this but... but you know? it touched my soul and it more looks like Attack on slice of life not TITAN :D.
Story 9/10- unexpectedly moments and it will be interesting what will happen next? I know and I/we saw that the author somehow removed some backstories like whats wrong with Eren's titan form? and other thinks but I am satisfied with everything atm.
Art 9/10- in the previous seasons was much better but it does not interfere
                  watching.... I like it anyway.
Sound 9/10- at this moment no new soundtracks, but sounds from guns/swords/ambiance is cool I liked, and I hope Sawano Hiroyuki will bring us some new masterpiece osts/soundtracks in future episodes.
Character 10/10- almost all were behaving like IRL people there's no exaggeration, this is just as I see it.
Enjoyment 10/10- ten by ten means ADDICTION when episode comes out prepare yourself! (meals,drinks).
Overall 10/10- My masterpiece always will be outstanding I hope in the future it will not change to disappointment.",10
"
                After a little bit more than a year of wait fan favorite Attack on Titan is back with it's 3rd season and as always we are eager to see what's in store for us this time.
Story 10/10
It continunes few days after where we left off last season and it focuses more on political drama and dilemmas inside the walls. This season gets straight to the point and introduces new villain named Kenny that turns out to be somehow related to Levi. There are many parties trying to get Eren and Historia. For what reason? It is yet to be reveald. Mystery we all feel in
                  love with is still there and there are even more questions, but don't let that distract you from the fact that this season ,even tho is only few episodes in, already has some major reveals in it. Pacing is amazing and i wasn't bored for a moment while watching. Things are only getting more interesting when Erwin reveals how he's planning to ovethrow the governmant without using the force. This season has a very refreshing and different plot compared to previous ones as we can see from the lack of titans and focuse on the issues inside the walls rather than beyond. However it's still as, if not more interesting than before. There is world buidling,mystery,back stabbing and some major questions answered which there is hopfully more to come.
Art 9/10
Animation 10/10
As we can see characters in this season look a little bit different or older which some might not like but i do personally. It's a fresh change. They look closer to their manga designes. Some might notice that they removed those thick black lines around characters faces which made AOT art stand out even more. Don't get me wrong, it still does but that was something that was missing which kept me from giving it 10/10.
Animation is brilliant for this season (it's Attack on Titan after all :D) and like every season it only got better. It's almost flawless 6 episodes in. That levi ODM action sequence is some of the best animation i have seen in anime. Perfect combination between 3D background and 2D animation along with masterfull camera movement made this scene look like a movie. It was incredible! While i was watching levi maneuvering trough the city i felt like i was the part of the scene. Levi grappling on the bar and pulling himself towards it made me feel like i was pulled with him. There is even one frame where levi is facing the wall and you can see his reflection in the window. Just goes to show how much detail and time was put in to this scene. After i done some research i found out that it took the animator of this scene 1 whole month to complete it. Just that one scene alone. All props to Arifumi Imai. Great job. Hopfully it keeps this quality because this season is said to be 24 episodes long.
Sound 10/10 
I mean, is there anything to say? AoT is notorious for it's amazing OST and sound quality. Voice actors are great as always and the sound that stand out to me the most was the sound of falling shell from kenny on the roof in ep.1. It was just so satisfying :D. And again mad props to Hiroyuki Sawano (the composer) for the epic and emotional music.  
Characters 10/10
What i like about AoT characters is the fact that they interact so naturally and nothing from their conversation seems forced which is immediately showcased in the very first scene in ep. 1. That cabin scene where jean and eren argue,sasha tries to steal bread, mikasa still does work even tho she's injured and armin cares for her deeply. And of course Levi the clean freak comes in at the end :p They are such fun and lively characters.
This season already had some major development for our cast. We got to see Erwin's and Hisotira's backstories which also delved deeper in their characters motives. Both backstories were heartbreaking and made me care a lot more for them. Hisotira is slowly taking of her ""Christa Lenz"" facade (is that how you say it? lol) and Erwin is proving again and again why everyone loves him and would follow him to death. His childhood story is very similar to how our society and governmant wokrs today which is very scary. And we all need to remember that isayama is criticizing this type of government and society with these topics. Instead of just walking of Erwin comes back to Dimo Rivees's wife and comforts her saying he'll avange him. Erwin is charismatic,great leader, intellignet and someone that you just want to follow. Since the young age he was corious and as he call himself a ""gambler"". He is someone that would give everything for the humanity. Or is he? I think there is a lot more to his character. Hange got some development too. The way she gathered the information about nick's murder is amazing. After all she is one of the most intelligent characters in this show. She is someone that does what she promises, and she did. She tortured the guy that tortured her friend but after that she shows her other side. She shows human compassion. She repeats how she's starting to feel sorry for them and kicks the table which showcases her frustation and that she actually doesn't like what she has to do. Yeah i know it's hard to believe :D she was always crazy lol. Her weird love for titans makes her character all more interesting and multidimensional. Eren is maturing and seems a lot more chill this season but unfortunately he is kiddnaped again :( Poor guy he just can't catch a break. In ep.1 he helps historia to overcome here pain and shows again just how honest he is by telling her ""I like you more this way, just a stupidly normal honest girl"". Also hugeee development for armin. To think that he would be capable of killing a human.. this will deffinitely have a huge impact on his character in the future. The way he selfreflects and his philosohpical speach about morals is great, it really makes you think. He kinda has a point too. He shows one more time how mentally strong he is even tho he lacks physicial strength. This time is just on another level. Now lets talk about our new villain. KENYYYYYYYYYYY. I love this guy lol. The way he roasts and insults levi and the cowboy vibe he gives. I love it. He immediately showcases that he is not a joke by blowing nifa's head off just like that. He also seems very mysterious. The way he treats levi is almost as if he looks down upon him. Speaking of Levi here is what i think: That chase scene where he's running away from kenny is not just a great action sequence it also represents Levi running from his past. Kenny=His past. Running from kenny or his past. This arc is also big development and challange for him now that he has to act as a leader/commander because erwin is absent or busy. There was also some smaller developments for connie (motivating himself to take on the beast titan),jean (struggling to remain human which almost costs him life, also selfreflecting), sanes (showing how he didn't want to do the things that he has done and over the time he just got used to it, also he was kinda easy to symphatise with too and his devotion to king is may be morally wrong but aslo admirable, the way he feels destroyed after finding out that he was actually the one that betrayed the king is also worth mentioning), flegel (stepping up becoming a boss saying how he'll protect the people of his city), zachary (showcasing that he cares more about himself rather than humanity and how he always hated the governmant because they looked up on everyone).
Enjoyment 10/10
I never enjoyed AoT more. It's great.This season has perfect balance between story telling, character development and action.
Overall 10/10
It's just getting better and better and hopfully there is more to come :) (P.S. my english is not perfect, hope you can understand :D)",10
"
                I know what you're thinking. This will be another cliche anime. It's just about killing these weird titans. It's just another ""edgy, shock value"" show with no depth. I'm here to tell you...this show is deeper than what it seems. I discovered this anime a year ago. One boring night i decided to give it a try and I binged the first 9 episodes. But why was I so in to it?
The surprises. The complexity. The mysteries. The emotions. The music. The animation/art. The lore. The tone. The maturity. The execution. The struggles. It all caught me off guard. What ended up happening was me
                  discovering my favorite series in any genre, and the first anime to ever make me pick up the manga (and my oh my will the end of Season 3 &amp; 4 be amazing, and I guarantee it will shoot it up to one of the all time great animes).
It's rare that I discover a show that is unpredictable. It's rare that I discover a show that actually makes me feel. I see criticisms about the story only being about killing titans...that the characters are shallow...that there's no substance...and I truly have to question if we're watching the same show. There are mysteries established from the very first scene. Mysteries that are paid off WONDERFULLY later in the story. There are characters that appear to only be background characters, who end up having an ENORMOUS impact on the story. There are themes and life lessons sprinkled throughout these absurd situations. While the critics only see fighting titans, I see the character development &amp; inner conflicts that arise during these situations. All of this is accomplished without forced humor, over-exaggerated artwork, and childish antics. Isayama successfully casts aside the usual tropes, even killing important characters (which actually makes me fear for the lives of other characters). He ignores the ""friendship will win"" tropes. The ""I'm passionate to beat him"" tropes. Actually, all these situations are presented just to give you the harsh reality that life doesn't always work out that way. This is an amazing experience, and as a manga reader, I promise y'all are in for a ride. Another special shoutout to the music, which is truly an amazing part of the show. 
This show gets a lot of haters. Understandably, like anything else, not everyone will like it. But there's plenty of people who hate on it just cause of its popularity. Or label the writer insane things because they didn't actually read the context of the story. DONT FALL FOR THEM. Be your own judge, notice every small detail of the show. If you're looking for something deep, mature, and refreshing...this show is for you.",9
"
                Season 2 was alright, but now it´s starting to become pretty goddamn average, and this is coming from someone who loved season 1, I even rewatched it several times... I feel that season 3 builds up to a climax but then just says fuck it, and goes back to where they began. It looks like a really bad version of Christopher Vogler´s narrative structure known as ""The Hero´s Journey"". I feel that the character development is weak as well, Historia just suddenly decides to switch sides without any ""real"" reason to do so. Yea sure, she has issues when it comes to a parental figures,
                  but how the fuck can someone be convinced to eat a person which was your former ally? The whole structure of the story feels weak, they force the characters ""tragic"" backgrounds on the audience without any chance to let us make up our own thoughts about them. I guess you could say, it´s too fleshed out. The creators leave no room for imagination imo...",5
"
                I'm so happy this turned out well. Season 3 is exactly what SnK should be. 
I didn't think things would necessarily turn out this way, either. In my humble opinion, SnK season TWO was a mess. During the first 6 episodes, the plot, pacing, etc. was completely off and it completely killed the show for me. I wrote a long review about it before but I don't wanna spend too much time talking about SnK s2 when this is about season 3. As season 2 approached the ending, however, it seemed the writing was coming back and I began to enjoy it like I enjoyed
                  season 1. 
Now the writing is in full force, and everything seems to shine. Where should I begin?
Essentially, all of our characters are set up at this point so there's no time wasted with long backstories or explanations. Whenever a backstory does come up, it's quick and does NOT subtract from the plot at all. During season 2 they kinda threw in flashbacks at random, even during critical, suspenseful moments, and it killed the immersion. If that was something you were worrying about -- you won't see that here. The story flows great. 
The characters are back and better than ever, too. During season 2 we really missed Levi in all his fighting greatness, but he really shares center stage this season. He's cool, collected, and intelligent -- even more than he was in season 1. He's back to fighting anything willing to stand in the way of his mission, and he's great at it. The show plays on the strengths and personalities of its characters and it really shows. Even though a lot of the season so far is centering around the side characters -- they don't disappoint at all. Not to mention everything is more impactful now that we've spent 2 seasons already with these people. I was looking forward to every moment their plans advanced or fell flat. Even the antagonists are cool. It's annoying to watch a show where the villains are dumb but the heroes always have everything figured out. You don't have to worry about that in SnK s3. There villains seem to be just as capable as the heroes, so you don't know what's going to happen. 
I'd say the story itself, so far, is much better than season 1 and season 2. While I enjoyed season 1 a lot, quite a few people complained about the lack of plot progression but I don't think that would be a fair complaint for season 3. During this season we've learned much more about the world, and we have a lot more factions/actors furthering their goals. The pacing is not too fast, and it's not too slow either. The story kept me on edge, with twists and turns that all flow together. I looked forward to each new episode even though the story kept me completely satisfied. What I mean by that is -- I was comfortable stopping at any episode, because I had been thoroughly entertained and I had gotten a lot with each episode. Some shows bore you with a dull episode and then a cliffhanger at the end -- not this one. 
There isn't too much that I can say because I'm only 5 episodes in but I'm just really enjoying myself and wanted to share. Lol. 
As for the art, it's as good as ever. I'm looking forward to seeing the animation during big battles that will come up in the future. 
The sound is good too, as it usually is. I feel like we haven't gotten too much of the OST yet so it's unfair to really judge it at this point. While I didn't care for the OP much at first, I have to admit it sounds much better using a quality headset in comparison to the bad speakers I played it on the first time. It isn't my favorite OP, but it's fine IMO. 
Overall, my ratings would go like this:
Story: 9
Art: 8
Sound: 7
Character: 9
Enjoyment: 10
Overall: 9
The reason why I handed out so many 9's is because it's so early in the season so I can't be SURE of any perfection yet, but I can guarantee that I've been enjoying the HECK out of it so far. On the course it's going, I'm sure to at least keep those ratings -- or maybe I'll think it's worth something higher. Hard to say.
RIP I had to reupload this review cause I ""didn't watch 6 episodes""  before",9
"
                As always this incredible anime has overcome any expectations that people have set for it. The first part of season 3 was amazing, well executed, the sped up pacing (compared to the manga), the visuals and the music were top notch.
Animation changed, since season 2 but it changed for the better, the action scenes look much more clear and crisper.
The overall tone of episode 12 to describe in one word was ""HYPE'.
I think the second cour of season 3 will leave a HUGE impact on anime only fans, as for us manga readers it'll be a dream come true.
              ",10
